index	label	name	hemisphere	region_abbrev	lobe	cortex_type	x_cog	y_cog	z_cog	volume_mm3
1	V1_L	Primary_Visual_Cortex_L	L	V1	Occ	Primary_Visual	100.491589	41.138901	71.63704	6717
2	MST_L	Medial_Superior_Temporal_Area_L	L	MST	Occ	MT+_Complex_and_Neighboring_Visual_Areas	132.416667	58.901786	82.059524	336
3	V6_L	Sixth_Visual_Area_L	L	V6	Occ	Dorsal_Stream_Visual	104.543112	44.481665	103.916749	1009
4	V2_L	Second_Visual_Area_L	L	V2	Occ	Early_Visual	102.236656	44.064791	74.401125	6220
5	V3_L	Third_Visual_Area_L	L	V3	Occ	Early_Visual	107.926111	40.632159	76.961153	4994
6	V4_L	Fourth_Visual_Area_L	L	V4	Occ	Early_Visual	120.481621	41.344329	69.955702	3183
7	V8_L	Eighth_Visual_Area_L	L	V8	Occ	Ventral_Stream_Visual	123.013193	51.8927	56.759015	1137
8	4_L	Primary_Motor_Cortex_L	L	4	Fr	Somatosensory_and_Motor	119.338359	105.485002	126.65561	6301
9	3b_L	Primary_Sensory_Cortex_L	L	3b	Par	Somatosensory_and_Motor	129.664059	103.257279	123.682747	2301
10	FEF_L	Frontal_Eye_Fields_L	L	FEF	Fr	Premotor	132.579336	118.837638	121.922509	813
11	PEF_L	Premotor_Eye_Field_L	L	PEF	Fr	Premotor	136.772664	125.582985	112.956764	717
12	55b_L	Area_55b_L	L	55b	Fr	Premotor	138.865752	124.683174	122.399165	1676
13	V3A_L	Area_V3A_L	L	V3A	Occ	Dorsal_Stream_Visual	104.528505	33.597072	99.335131	1298
14	RSC_L	RetroSplenial_Complex_L	L	RSC	Par	Posterior_Cingulate	96.918149	86.60261	88.986951	843
15	POS2_L	Parieto-Occipital_Sulcus_Area_2_L	L	POS2	Occ	Posterior_Cingulate	98.677433	53.233641	109.394715	2384
16	V7_L	Seventh_Visual_Area_L	L	V7	Occ	Dorsal_Stream_Visual	114.850993	39.443709	100.271523	604
17	IPS1_L	IntraParietal_Sulcus_Area_1_L	L	IPS1	Par	Dorsal_Stream_Visual	114.19184	51.537326	110.430556	1152
18	FFC_L	Fusiform_Face_Complex_L	L	FFC	Temp	Ventral_Stream_Visual	133.940136	69.78536	52.618797	3224
19	V3B_L	Area_V3B_L	L	V3B	Occ	Dorsal_Stream_Visual	117.755656	42.828054	88.434389	442
20	LO1_L	Area_Lateral_Occipital_1_L	L	LO1	Occ	MT+_Complex_and_Neighboring_Visual_Areas	132.592541	39.361878	78.374309	724
21	LO2_L	Area_Lateral_Occipital_2_L	L	LO2	Occ	MT+_Complex_and_Neighboring_Visual_Areas	137.691983	45.555907	68.914557	948
22	PIT_L	Posterior_InferoTemporal_complex_L	L	PIT	Occ	Ventral_Stream_Visual	137.394161	48.92805	61.153285	959
23	MT_L	Middle_Temporal_Area_L	L	MT	Occ	MT+_Complex_and_Neighboring_Visual_Areas	133.489855	55.521739	82.907246	345
24	A1_L	Primary_Auditory_Cortex_L	L	A1	Temp	Early_Auditory	135.998896	101.994481	82.398455	906
25	PSL_L	PeriSylvian_Language_Area_L	L	PSL	Par	Temporo-Parieto_Occipital_Junction	150.183112	78.426117	97.249877	2037
26	SFL_L	Superior_Frontal_Language_Area_L	L	SFL	Fr	Dorsolateral_Prefrontal	98.31097	142.730684	135.373291	3145
27	PCV_L	PreCuneus_Visual_Area_L	L	PCV	Par	Posterior_Cingulate	96.358639	76.151178	120.194372	1528
28	STV_L	Superior_Temporal_Visual_Area_L	L	STV	Par	Temporo-Parieto-Occipital_Junction	152.198435	74.187814	89.932923	1789
29	7Pm_L	Medial_Area_7P_L	L	7Pm	Par	Superior_Parietal	95.248227	58.274232	121.498818	846
30	7m_L	Area_7m_L	L	7m	Par	Posterior_Cingulate	95.552556	64.056289	105.57668	1741
31	POS1_L	Parieto-Occipital_Sulcus_Area_1_L	L	POS1	Par	Posterior_Cingulate	101.731298	67.452417	84.880916	1965
32	23d_L	Area_23d_L	L	23d	Par	Posterior_Cingulate	93.867052	106.364162	109.955684	1038
33	v23ab_L	Area_ventral_23_a+b_L	L	v23ab	Par	Posterior_Cingulate	94.704348	70.024638	91.217391	690
34	d23ab_L	Area_dorsal_23_a+b_L	L	d23ab	Par	Posterior_Cingulate	93.768848	84.202983	102.524441	1207
35	31pv_L	Area_31p_ventral_L	L	31pv	Par	Posterior_Cingulate	100.042751	81.552045	104.622677	538
36	5m_L	Area_5m_L	L	5m	Par	Paracentral_Lobular_and_Mid_Cingulate	96.894004	83.917559	134.828694	934
37	5mv_L	Area_5m_ventral_L	L	5mv	Par	Paracentral_Lobular_and_Mid_Cingulate	104.643979	88.134031	121.951832	955
38	23c_L	Area_23c_L	L	23c	Par	Paracentral_Lobular_and_Mid_Cingulate	102.515493	96.142723	113.688263	1065
39	5L_L	Area_5L_L	L	5L	Par	Paracentral_Lobular_and_Mid_Cingulate	105.121097	76.89642	144.418888	1313
40	24dd_L	Dorsal_Area_24d_L	L	24dd	Fr	Paracentral_Lobular_and_Mid_Cingulate	96.658505	110.468299	121.557499	2287
41	24dv_L	Ventral_Area_24d_L	L	24dv	Fr	Paracentral_Lobular_and_Mid_Cingulate	100.068306	126.534153	115.301913	732
42	7AL_L	Lateral_Area_7A_L	L	7AL	Par	Superior_Parietal	112.239867	73.178073	137.489037	1505
43	SCEF_L	Supplementary_and_Cingulate_Eye_Field_L	L	SCEF	Fr	Paracentral_Lobular_and_Mid_Cingulate	96.643496	131.532274	128.125124	3021
44	6ma_L	Area_6m_anterior_L	L	6ma	Fr	Paracentral_Lobular_and_Mid_Cingulate	110.592627	130.136617	139.421933	3228
45	7Am_L	Medial_Area_7A_L	L	7Am	Par	Superior_Parietal	97.517305	65.146285	132.871251	2167
46	7Pl_L	Lateral_Area_7P_L	L	7Pl	Par	Superior_Parietal	105.278114	51.702539	127.938331	827
47	7PC_L	Area_7PC_L	L	7PC	Par	Superior_Parietal	128.238394	78.294856	131.844417	2391
48	LIPv_L	Area_Lateral_IntraParietal_ventral_L	L	LIPv	Par	Superior_Parietal	121.655546	69.556357	124.250676	1109
49	VIP_L	Ventral_IntraParietal_Complex_L	L	VIP	Par	Superior_Parietal	114.787443	60.903859	134.815566	1529
50	MIP_L	Medial_IntraParietal_Area_L	L	MIP	Par	Superior_Parietal	115.970641	58.793594	119.152135	1124
51	1_L	Area_1_L	L	1	Par	Somatosensory_and_Motor	138.150337	99.962157	127.34085	3858
52	2_L	Area_2_L	L	2	Par	Somatosensory_and_Motor	129.508165	92.68818	123.900078	2572
53	3a_L	Area_3a_L	L	3a	Fr	Somatosensory_and_Motor	125.373109	105.0	114.733613	1190
54	6d_L	Dorsal_area_6_L	L	6d	Fr	Premotor	124.128205	111.937022	138.11426	2223
55	6mp_L	Area_6mp_L	L	6mp	Fr	Paracentral_Lobular_and_Mid_Cingulate	100.026417	110.678674	141.063401	2082
56	6v_L	Ventral_Area_6_L	L	6v	Fr	Premotor	149.799006	129.681108	103.925426	1408
57	p24pr_L	Area_Posterior_24_prime_L	L	p24pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	94.447546	124.308951	110.85948	1039
58	33pr_L	Area_33_prime_L	L	33pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	94.083624	134.923345	100.006969	287
59	a24pr_L	Anterior_24_prime_L	L	a24pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	95.249415	144.104215	101.338407	854
60	p32pr_L	Area_p32_prime_L	L	p32pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	99.010823	140.837662	110.227273	924
61	a24_L	Area_a24_L	L	a24	Fr	Anterior_Cingulate_and_Medial_Prefrontal	96.046431	166.310464	66.976438	1443
62	d32_L	Area_dorsal_32_L	L	d32	Fr	Anterior_Cingulate_and_Medial_Prefrontal	98.638734	168.099317	96.929236	1611
63	8BM_L	Area_8BM_L	L	8BM	Fr	Anterior_Cingulate_and_Medial_Prefrontal	95.909177	158.968616	116.162149	2103
64	p32_L	Area_p32_L	L	p32	Fr	Anterior_Cingulate_and_Medial_Prefrontal	101.628302	174.318868	67.658491	530
65	10r_L	Area_10r_L	L	10r	Fr	Anterior_Cingulate_and_Medial_Prefrontal	96.816092	176.014368	59.294061	1044
66	47m_L	Area_47m_L	L	47m	Fr	Orbital_and_Polar_Frontal	127.422402	156.510121	55.184885	741
67	8Av_L	Area_8Av_L	L	8Av	Fr	Dorsolateral_Prefrontal	128.190759	142.505809	124.802756	3701
68	8Ad_L	Area_8Ad_L	L	8Ad	Fr	Dorsolateral_Prefrontal	113.687799	154.661483	115.801037	2508
69	9m_L	Area_9_Middle_L	L	9m	Fr	Anterior_Cingulate_and_Medial_Prefrontal	97.019809	180.108831	93.67494	4190
70	8BL_L	Area_8B_Lateral_L	L	8BL	Fr	Dorsolateral_Prefrontal	101.401615	163.951564	124.369828	1982
71	9p_L	Area_9_Posterior_L	L	9p	Fr	Dorsolateral_Prefrontal	109.307738	173.069108	109.713526	1693
72	10d_L	Area_10d_L	L	10d	Fr	Orbital_and_Polar_Frontal	100.894288	191.564911	78.3023	2696
73	8C_L	Area_8C_L	L	8C	Fr	Dorsolateral_Prefrontal	134.157612	139.145205	109.267606	2982
74	44_L	Area_44_L	L	44	Fr	Inferior_Frontal	144.510015	141.238315	88.001027	1947
75	45_L	Area_45_L	L	45	Fr	Inferior_Frontal	141.73524	152.514118	73.734873	2727
76	47l_L	Area_47l_(47_lateral)_L	L	47l	Fr	Inferior_Frontal	136.797521	154.852273	60.41374	1936
77	a47r_L	Area_anterior_47r_L	L	a47r	Fr	Inferior_Frontal	131.095281	174.396953	59.360514	3348
78	6r_L	Rostral_Area_6_L	L	6r	Fr	Premotor	143.753559	132.158363	88.451957	2248
79	IFJa_L	Area_IFJa_L	L	IFJa	Fr	Inferior_Frontal	131.411067	137.512846	97.774704	1012
80	IFJp_L	Area_IFJp_L	L	IFJp	Fr	Inferior_Frontal	131.397321	127.672619	101.36756	672
81	IFSp_L	Area_IFSp_L	L	IFSp	Fr	Inferior_Frontal	137.874185	149.780056	91.685927	1073
82	IFSa_L	Area_IFSa_L	L	IFSa	Fr	Inferior_Frontal	137.383825	159.179718	80.8819	1558
83	p9-46v_L	Area_posterior_9-46v_L	L	p9-46v	Fr	Dorsolateral_Prefrontal	138.145009	155.665913	98.46629	2655
84	46_L	Area_46_L	L	46	Fr	Dorsolateral_Prefrontal	127.033498	164.498689	105.07457	3433
85	a9-46v_L	Area_anterior_9-46v_L	L	a9-46v	Fr	Dorsolateral_Prefrontal	131.147188	176.872535	80.33382	2738
86	9-46d_L	Area_9-46d_L	L	9-46d	Fr	Dorsolateral_Prefrontal	120.191583	172.262563	93.433103	3184
87	9a_L	Area_9_anterior_L	L	9a	Fr	Dorsolateral_Prefrontal	112.60695	183.845628	95.711763	3511
88	10v_L	Area_10v_L	L	10v	Fr	Anterior_Cingulate_and_Medial_Prefrontal	95.085146	179.625174	52.61453	2161
89	a10p_L	Area_anterior_10p_L	L	a10p	Fr	Orbital_and_Polar_Frontal	116.405009	185.963731	63.137306	1158
90	10pp_L	Polar_10p_L	L	10pp	Fr	Orbital_and_Polar_Frontal	103.361926	187.352144	54.227239	1329
91	11l_L	Area_11l_L	L	11l	Fr	Orbital_and_Polar_Frontal	115.577956	172.905411	55.238477	2495
92	13l_L	Area_13l_L	L	13l	Fr	Orbital_and_Polar_Frontal	113.105234	153.630846	50.639198	1796
93	OFC_L	Orbital_Frontal_Complex_L	L	OFC	Fr	Orbital_and_Polar_Frontal	101.248092	155.905125	46.772628	1834
94	47s_L	Area_47s_L	L	47s	Fr	Orbital_and_Polar_Frontal	123.285457	146.215144	51.115986	1664
95	LIPd_L	Area_Lateral_IntraParietal_dorsal_L	L	LIPd	Par	Superior_Parietal	120.72028	70.784965	112.674825	572
96	6a_L	Area_6_anterior_L	L	6a	Fr	Premotor	115.421955	121.769876	126.648432	2742
97	i6-8_L	Inferior_6-8_Transitional_Area_L	L	i6-8	Fr	Dorsolateral_Prefrontal	119.66028	129.204864	127.283714	1357
98	s6-8_L	Superior_6-8_Transitional_Area_L	L	s6-8	Fr	Dorsolateral_Prefrontal	112.448914	151.434433	128.003218	1243
99	43_L	Area_43_L	L	43	Fr	Posterior_Opercular	147.447146	125.598309	80.808668	946
100	OP4_L	Area_OP4-PV_L	L	OP4	Par	Posterior_Opercular	151.038095	113.658333	86.099405	1680
101	OP1_L	Area_OP1-SII_L	L	OP1	Par	Posterior_Opercular	138.126662	103.983905	90.311407	1429
102	OP2-3_L	Area_OP2-3-VS_L	L	OP2-3	Par	Posterior_Opercular	131.5	109.658263	89.165266	714
103	52_L	Area_52_L	L	52	Temp	Early_Auditory	130.277162	105.017738	70.645233	451
104	RI_L	RetroInsular_Cortex_L	L	RI	Par	Early_Auditory	130.666225	90.109934	91.313907	755
105	PFcm_L	Area_PFcm_L	L	PFcm	Par	Early_Auditory	141.793228	93.845101	92.239193	1388
106	PoI2_L	Posterior_Insular_Area_2_L	L	PoI2	Ins	Insular_and_Frontal_Opercular	131.140744	121.382156	71.041031	2096
107	TA2_L	Area_TA2_L	L	TA2	Temp	Auditory_Association	141.08604	129.967515	63.526778	1139
108	FOP4_L	Frontal_Opercular_Area_4_L	L	FOP4	Fr	Insular_and_Frontal_Opercular	133.429119	138.892173	76.685824	1827
109	MI_L	Middle_Insular_Area_L	L	MI	Ins	Insular_and_Frontal_Opercular	127.923709	136.443075	73.143779	1704
110	Pir_L	Pirform_Cortex_L	L	Pir	Temp	Insular_and_Frontal_Opercular	122.938706	130.870602	53.682179	881
111	AVI_L	Anterior_Ventral_Insular_Area_L	L	AVI	Fr	Insular_and_Frontal_Opercular	121.113485	150.508678	67.823765	749
112	AAIC_L	Anterior_Agranular_Insula_Complex_L	L	AAIC	Ins	Insular_and_Frontal_Opercular	126.225504	139.71902	60.595101	1388
113	FOP1_L	Frontal_Opercular_Area_1_L	L	FOP1	Fr	Posterior_Opercular	140.305709	128.198895	75.653775	543
114	FOP3_L	Frontal_Opercular_Area_3_L	L	FOP3	Ins	Insular_and_Frontal_Opercular	126.0	128.96978	84.425824	364
115	FOP2_L	Frontal_Opercular_Area_2_L	L	FOP2	Fr	Insular_and_Frontal_Opercular	133.704403	121.251572	85.752621	477
116	PFt_L	Area_PFt_L	L	PFt	Par	Inferior_Parietal	146.277662	100.807933	106.926931	958
117	AIP_L	Anterior_IntraParietal_Area_L	L	AIP	Par	Superior_Parietal	130.372549	87.01364	112.687127	1173
118	EC_L	Entorhinal_Cortex_L	L	EC	Temp	Medial_Temporal	111.463631	115.664695	42.698403	1691
119	PreS_L	PreSubiculum_L	L	PreS	Temp	Medial_Temporal	109.856877	94.634758	60.597584	1076
120	H_L	Hippocampus_L	L	H	Temp	Medial_Temporal	120.203438	102.589542	54.63467	1396
121	ProS_L	ProStriate_Area_L	L	ProS	Par	Posterior_Cingulate	112.538922	71.057884	75.091816	501
122	PeEc_L	Perirhinal_Ectorhinal_Cortex_L	L	PeEc	Temp	Medial_Temporal	120.292051	116.757071	38.222388	3359
123	STGa_L	Area_STGa_L	L	STGa	Temp	Auditory_Association	139.957301	140.979968	50.18292	1897
124	PBelt_L	ParaBelt_Complex_L	L	PBelt	Temp	Early_Auditory	144.62098	100.147014	79.898162	1306
125	A5_L	Auditory_5_Complex_L	L	A5	Temp	Auditory_Association	152.259123	112.858549	68.432144	2439
126	PHA1_L	ParaHippocampal_Area_1_L	L	PHA1	Temp	Medial_Temporal	111.705833	90.678333	55.309167	1200
127	PHA3_L	ParaHippocampal_Area_3_L	L	PHA3	Temp	Medial_Temporal	124.479062	90.840871	51.123953	1194
128	STSda_L	Area_STSd_anterior_L	L	STSda	Temp	Auditory_Association	143.831461	123.554073	57.391854	1424
129	STSdp_L	Area_STSd_posterior_L	L	STSdp	Temp	Auditory_Association	143.062832	94.156637	72.083186	1130
130	STSvp_L	Area_STSv_posterior_L	L	STSvp	Temp	Auditory_Association	146.913625	91.085158	67.189173	1644
131	TGd_L	Area_TG_dorsal_L	L	TGd	Temp	Lateral_Temporal	127.26011	137.751977	35.261304	6701
132	TE1a_L	Area_TE1_anterior_L	L	TE1a	Temp	Lateral_Temporal	150.202228	122.362624	47.172277	4040
133	TE1p_L	Area_TE1_posterior_L	L	TE1p	Temp	Lateral_Temporal	152.940325	78.805713	61.515946	5111
134	TE2a_L	Area_TE2_anterior_L	L	TE2a	Temp	Lateral_Temporal	148.079856	104.370685	42.029109	3882
135	TF_L	Area_TF_L	L	TF	Temp	Medial_Temporal	132.406298	105.142089	41.219662	2604
136	TE2p_L	Area_TE2_posterior_L	L	TE2p	Temp	Lateral_Temporal	142.182155	83.665679	49.921881	2701
137	PHT_L	Area_PHT_L	L	PHT	Temp	Lateral_Temporal	150.083714	66.180795	74.12733	2843
138	PH_L	Area_PH_L	L	PH	Temp	MT+_Complex_and_Neighboring_Visual_Areas	139.578644	61.953921	65.579087	2257
139	TPOJ1_L	Area_TemporoParietoOccipital_Junction_1_L	L	TPOJ1	Temp	Temporo-Parieto-Occipital_Junction	144.16796	79.669019	81.137615	1417
140	TPOJ2_L	Area_TemporoParietoOccipital_Junction_2_L	L	TPOJ2	Par	Temporo-Parieto-Occipital_Junction	143.28	62.095686	87.299608	1275
141	TPOJ3_L	Area_TemporoParietoOccipital_Junction_3_L	L	TPOJ3	Occ	Temporo-Parieto-Occipital_Junction	133.675835	54.257367	91.510806	509
142	DVT_L	Dorsal_Transitional_Visual_Area_L	L	DVT	Occ	Posterior_Cingulate	108.042324	53.086307	103.566805	1205
143	PGp_L	Area_PGp_L	L	PGp	Occ	Inferior_Parietal	129.425332	40.278761	94.142146	1808
144	IP2_L	Area_IntraParietal_2_L	L	IP2	Par	Inferior_Parietal	131.750374	77.285501	114.758595	1338
145	IP1_L	Area_IntraParietal_1_L	L	IP1	Par	Inferior_Parietal	121.635182	55.480069	111.34922	1154
146	IP0_L	Area_IntraParietal_0_L	L	IP0	Occ	Inferior_Parietal	122.033257	45.806193	97.033257	872
147	PFop_L	Area_PF_Opercular_L	L	PFop	Par	Inferior_Parietal	154.842679	102.913551	96.221963	1284
148	PF_L	Area_PF_Complex_L	L	PF	Par	Inferior_Parietal	151.894297	89.867502	108.288348	4068
149	PFm_L	Area_PFm_Complex_L	L	PFm	Par	Inferior_Parietal	140.702334	70.065862	118.414359	5056
150	PGi_L	Area_PGi_L	L	PGi	Par	Inferior_Parietal	138.62727	61.299798	99.072355	3469
151	PGs_L	Area_PGs_L	L	PGs	Par	Inferior_Parietal	131.808463	48.857461	110.436526	3143
152	V6A_L	Area_V6A_L	L	V6A	Occ	Dorsal_Stream_Visual	112.534483	39.66092	114.188218	696
153	VMV1_L	VentroMedial_Visual_Area_1_L	L	VMV1	Occ	Ventral_Stream_Visual	110.244105	74.319001	64.307906	721
154	VMV3_L	VentroMedial_Visual_Area_3_L	L	VMV3	Occ	Ventral_Stream_Visual	119.618762	64.508982	61.017964	501
155	PHA2_L	ParaHippocampal_Area_2_L	L	PHA2	Temp	Medial_Temporal	121.389831	90.169492	58.122881	236
156	V4t_L	Area_V4t_L	L	V4t	Occ	MT+_Complex_and_Neighboring_Visual_Areas	138.695811	48.185792	74.724954	549
157	FST_L	Area_FST_L	L	FST	Occ	MT+_Complex_and_Neighboring_Visual_Areas	137.648765	57.787325	76.535983	931
158	V3CD_L	Area_V3CD_L	L	V3CD	Occ	MT+_Complex_and_Neighboring_Visual_Areas	125.152542	36.195686	81.429892	649
159	LO3_L	Area_Lateral_Occipital_3_L	L	LO3	Occ	MT+_Complex_and_Neighboring_Visual_Areas	136.842415	48.964654	85.864507	679
160	VMV2_L	VentroMedial_Visual_Area_2_L	L	VMV2	Occ	Ventral_Stream_Visual	119.360502	74.39185	66.366771	319
161	31pd_L	Area_31pd_L	L	31pd	Par	Posterior_Cingulate	102.136519	73.851536	106.767918	586
162	31a_L	Area_31a_L	L	31a	Par	Posterior_Cingulate	95.984389	88.707989	115.960514	1089
163	VVC_L	Ventral_Visual_Complex_L	L	VVC	Temp	Ventral_Stream_Visual	121.913003	74.920407	53.816752	2161
164	25_L	Area_25_L	L	25	Fr	Anterior_Cingulate_and_Medial_Prefrontal	95.291898	147.049945	57.497225	901
165	s32_L	Area_s32_L	L	s32	Fr	Anterior_Cingulate_and_Medial_Prefrontal	97.364516	159.174194	54.480645	310
166	pOFC_L	Posterior_OFC_Complex_L	L	pOFC	Fr	Anterior_Cingulate_and_Medial_Prefrontal	104.455746	137.165786	52.015852	1514
167	PoI1_L	Area_Posterior_Insular_1_L	L	PoI1	Ins	Insular_and_Frontal_Opercular	129.839378	113.685665	68.664076	1158
168	Ig_L	Insular_Granular_Complex_L	L	Ig	Ins	Insular_and_Frontal_Opercular	126.25974	110.064935	86.446429	616
169	FOP5_L	Area_Frontal_Opercular_5_L	L	FOP5	Fr	Insular_and_Frontal_Opercular	125.928129	152.826518	75.615861	807
170	p10p_L	Area_posterior_10p_L	L	p10p	Fr	Orbital_and_Polar_Frontal	114.061006	189.546541	72.976101	1590
171	p47r_L	Area_posterior_47r_L	L	p47r	Fr	Inferior_Frontal	134.951128	169.179699	72.101504	1330
172	TGv_L	Area_TG_Ventral_L	L	TGv	Temp	Lateral_Temporal	127.497751	123.922939	25.901949	3335
173	MBelt_L	Medial_Belt_Complex_L	L	MBelt	Temp	Early_Auditory	136.939267	110.757068	73.956021	955
174	LBelt_L	Lateral_Belt_Complex_L	L	LBelt	Temp	Early_Auditory	136.829565	99.368696	79.617391	575
175	A4_L	Auditory_4_Complex_L	L	A4	Temp	Auditory_Association	155.165477	104.292219	78.188243	2943
176	STSva_L	Area_STSv_anterior_L	L	STSva	Temp	Auditory_Association	142.689243	118.134462	52.832669	1004
177	TE1m_L	Area_TE1_Middle_L	L	TE1m	Temp	Lateral_Temporal	155.554922	101.395287	54.901178	2631
178	PI_L	Para-Insular_Area_L	L	PI	Temp	Insular_and_Frontal_Opercular	134.650549	124.293407	56.102198	910
179	a32pr_L	Area_anterior_32_prime_L	L	a32pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	97.782313	155.883735	101.53927	1617
